id,date,status,text,photo,parti
489535645081520,2019-12-20,Inactive,"""Deze morgen bezocht ik de piketten van de NMBS. Ik zag dat de stakers meer bekommerd zijn om de reizigers dan de politici en de bazen."" Maria Vindevoghel, volksvertegenwoordiger van PVDA, vraagt investeringen in de NMBS voor meer veiligheid, stipte treinen en voldoende personeel.",,pvda
2803051296392109,2019-12-19,Inactive,"Engie-Electrabel, Total, ArcelorMittal, BASF en ExxonMobil, dat zijn de 5 multinationals die verantwoordelijk zijn voor 20% van de totale uitstoot van broeikasgassen in België. En toch krijgen zij miljoenen subsidies uit het Vlaams klimaatfonds.  🏹 Stop de cadeaus aan de grote vervuilers, investeer dit geld in een ambitieus en sociaal klimaatbeleid 👉 Lees de exclusieve studie: https://bit.ly/2S0I62S",,pvda
484089215549160,2019-12-18,Inactive,"De PVDA-campagne voor een minimumpensioen van 1.500 euro netto is zonder meer een succes. Het idee is ondertussen zo populair, dat ook andere partijen en instanties er mee aan de slag gaan. Uitkijken geblazen, want er duiken snel bedrieglijke varianten op. Een opiniestuk van PVDA-pensioenspecialist Kim De Witte.",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80878701_484089238882491_8545011063739908096_n.jpg?_nc_cat=100&_nc_ohc=czdqIGLxHwIAX8jFuhu&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=cf679c93058b2d93444a9a97d9c80dcf&oe=5EDADBB0,pvda
2544039235919796,2019-12-16,Inactive,"Zo kan het dus ook. ❤ In Zelzate verlagen we de belastingen voor gezinnen en lokale handelaars, en de factuur gaat naar de multinationals. ⚖ Een eerlijke taxshift, die de sterkste schouders de zwaarste lasten laat dragen. 💶 We dringen privatiseringen terug, investeren in de strijd tegen kinderarmoede en kiezen resoluut voor burgerparticipatie. #PVDAstyle 👉 Lees er alles over: https://www.pvda.be/de_eerlijke_taxshift_in_zelzate_haalt_het_geld_bij_de_multinationals",,pvda
3236193846455261,2019-12-15,Actif,"Kijk naar haar reactie. 🤩 Zij is de 100.000ste persoon om het minimumpensioen van 1.500 euro netto te ondersteunen. Met dank aan alle ondertekenaars ❤ werd de eerste burgerwet in het parlement ingediend. Maar wij gaan door. 💪 Om meer gewicht te hebben, willen we 250.000 mensen bereiken. We willen winnen. Deel dit bericht en teken nu voor later: www.1500netto.be/win #flashmob",,pvda
1550444321762289,2019-12-13,Inactive,"Heb je ook je buik vol van dit rechts beleid en al die onverantwoordelijke politici? Sluit je aan bij de rebellen met een groot hart, word lid van de sociaalste partij van het land. https://www.pvda.be/lidworden #Rebelswithaheart",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80333817_1550444348428953_8842232807896907776_n.jpg?_nc_cat=106&_nc_ohc=FRbNCFUTpwUAX9OvA2T&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=fb57e685c54abf94473d8b58128bd535&oe=5EA11CE7,pvda
1368208950007497,2019-12-13,Inactive,"Frankrijk komt op straat tegen de pensioenhervorming van president Macron. En de PVDA steunt de Franse werknemers. Want de aanval op de pensioenen is een Europese aanval. En dus hebben we ook een Europees antwoord nodig.  👉 Hier in België, strijden we verder voor een minimumpensioen van 1 500 euro netto: teken nu via http://bit.ly/2E1ypcd.",,pvda
2488940051344518,2019-12-13,Inactive,"🤦‍♀ ""Het VBO zegt dat vakbondsmensen te goed beschermd zijn. Dat klopt niet. Ik was zelf afgevaardigde en wanneer mijn baas mij onrechtmatig ontslagen heeft, kon ik mijn werk niet terugkrijgen. Terwijl de rechter me gelijk gaf.""  👊 Maria Vindevoghel, voormalig vakbondsvrouw en PVDA-volksvertegenwoordiger, vraagt een betere bescherming voor mensen die zich inzetten om hun collega's te beschermen. De echte overbescherming is die van parlementsleden: onschendbaarheid, tal van privileges, buitensporige uittredingsvergoedingen... 👉 Lees meer: https://www.pvda.be/pvda_vraagt_betere_bescherming_van_syndicalisten_vbo_negeert_de_feiten",,pvda
453855445202704,2019-12-12,Inactive,Geneesmiddelen goedkoper voor de patiënt én voor de sociale zekerheid? Dat kan met het kiwimodel van de PVDA. Stop het farmabanditisme.,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80235592_453860851868830_4406054159799812096_n.jpg?_nc_cat=111&_nc_ohc=AMAh7I9IB6wAX_YlAZU&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=a0103118c9830afdce77cb242c772aa8&oe=5ED33ACF,pvda
375702276570419,2019-12-12,Inactive,In 1 op de 3 gezinnen weegt de kost van geneesmiddelen te zwaar door. Het kiwimodel van de PVDA zou 407 miljoen euro opleveren voor de patiënt en voor de sociale zekerheid.,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80198201_375702339903746_6954639129921454080_n.jpg?_nc_cat=101&_nc_ohc=4DU3lOy9v6QAX8ZuS4o&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=48048947bd5bb8031f0f0b162105f234&oe=5E8E1D5B,pvda
495837411028320,2019-12-12,Inactive,"Kijk naar haar reactie. 🤩 Zij is de 100.000ste persoon om het minimumpensioen van 1.500 euro netto te ondersteunen.  Met dank aan alle ondertekenaars ❤ werd de eerste burgerwet in het parlement ingediend. Maar wij gaan door.  💪 Om meer gewicht te hebben, willen we 250.000 mensen bereiken. We willen winnen. Deel dit bericht en teken nu voor later: www.1500netto.be/win #flashmob",,pvda
