,date,status,id,photo,text
12,16 déc 2019 - 31 déc 2019,Inactive,ID : 552346092271651,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/80242685_10157810795274320_3533455515516403712_n.jpg?_nc_cat=102&_nc_ohc=2Lf7ehtXlh4AX-1xnA4&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=0bfe11acc98d66cc8c4c3ea33503b5ac&oe=5E98B308,"Van Rode Neuzen naar schaamrood op de wangen op 2 weken tijd 🤡  Je kan niet de ene week op Rode Neuzen Dag verkondigen dat mentaal welzijn bij jongeren van levensbelang is en de andere week massaal besparen op alle mogelijke preventie. Dit is niet meer verantwoord en alles behalve goed bestuur ❌  Wanneer je de hoogste zelfmoordcijfers van Europa hebt, is dit de FOUTE KEUZE! 👎 #hetkananders #eenbekeminder"
13,16 déc 2019 - 31 déc 2019,Inactive,ID : 832791380512593,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79424153_10157796530989320_4025767129662881792_n.jpg?_nc_cat=111&_nc_ohc=TklEbA6J2lIAX8O6k39&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=d5b500d98cde448027bd1291395d5340&oe=5E8E7BDD,"Waauw! 😍 Gent kreeg van de VN op de #klimaattop de Global Climate Action Award 💚  Gent is al jaren koploper voor een duurzaam, stedelijk voedselbeleid. Via Gent en Garde vinden Gentenaars elkaar om bijvoorbeeld te deeltuinieren en om voedselverspilling tegen te gaan. Zo werd er op twee jaar tijd meer dan 1000 !!! ton voedsel van verspilling gered en herverdeeld via armoede-organisaties.   En een extra pluim voor Groen-schepen Tine Heyse die het project al jaren trekt Groen Gent 👏 Samen met heel Gent is ze het Vlaamse en Belgische lichtpunt op de klimaattop! #hetkananders"
14,14 déc 2019 - 31 déc 2019,Inactive,ID : 1464184970402701,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80249034_1464185000402698_2179029362450366464_n.jpg?_nc_cat=110&_nc_ohc=G4lEj9uM2E4AX_FxiK0&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=175511c40ac92f38558ec5ee866e810c&oe=5ED115A6,"Het klimaat moet 'chillen', niet het klimaatactivisme 🔥  Greta symboliseert miljoenen jongeren die wereldwijd roepen om actie. Ze is personificatie van de #klimaatgeneratie die opstaat tegen de zittende macht ✊"
15,12 déc 2019 - 31 déc 2019,Inactive,ID : 709254176149570,,'Een klimaatplan zonder cijfers noem ik geen realistisch beleid. Vlaanderen geraakt hopeloos achterop. De facturen worden opnieuw doorgeschoven naar de volgende generaties. Waar is de regering die Vlaanderen wilde laten excelleren?' - Björn Rzoska
16,10 déc 2019 - 31 déc 2019,Inactive,ID : 559323701295113,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/79389657_1037301363280294_3003519356496773120_n.jpg?_nc_cat=106&_nc_ohc=qlH7oqIKMx4AX8orj6C&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=98385858b595f1b6421b3ddaf530e9f7&oe=5E8D2895,Bomen voor Brussel 💚   Er komt zelfs een Boommeester die de leiding krijgt over de bomen in de stad 😍 #hetkananders
17,10 déc 2019 - 21 déc 2019,Inactive,ID : 444385972916327,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79531098_10157775887764320_754108846003191808_n.jpg?_nc_cat=102&_nc_ohc=ALDkjzZ5uFcAX8ddz9l&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=ca2e4c340801bc6e15a94f6a6114d4d8&oe=5EDBA6C3,"'Dit is te gek voor woorden', zegt Wouter Van Besien.   'Fietsers die de trein nemen, verdienen propere, veilige, ruime en gratis fietsparkings. We willen ze net in de watten leggen, in de plaats van ze af te schrikken.' 💚🚴‍♀️"
18,10 déc 2019 - 31 déc 2019,Inactive,ID : 2048342845269002,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/77270241_10157793462144320_9025695144854159360_n.jpg?_nc_cat=111&_nc_ohc=_bD32INvrU4AX9-YckR&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=8f64e0fe697eb3f485689c7e52a0531c&oe=5EA61CB2,Door het gebrek aan klimaatambitie wordt Vlaanderen opgezadeld met een torenhoge factuur 😤 Weggesmeten geld!  Wat hadden we met dat geld kunnen doen waar elke Vlaming beter van wordt?  🏘️ Woningen energiezuinig maken 🚌 Meer en beter openbaar vervoer ✊ Strijden tegen armoede 📉 Investeren in onderwijs 💁‍♂️ Wachtlijsten aanpakken ⬇️ VUL ZELF AAN in de comments
19,10 déc 2019 - 31 déc 2019,Inactive,ID : 425982041640341,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/77270241_10157793462144320_9025695144854159360_n.jpg?_nc_cat=111&_nc_ohc=_bD32INvrU4AX9-YckR&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=8f64e0fe697eb3f485689c7e52a0531c&oe=5EA61CB2,Door het gebrek aan klimaatambitie wordt Vlaanderen opgezadeld met een torenhoge factuur 😤 Weggesmeten geld!  Wat hadden we met dat geld kunnen doen waar elke Vlaming beter van wordt?  🏘️ Woningen energiezuinig maken 🚌 Meer en beter openbaar vervoer ✊ Strijden tegen armoede 📉 Investeren in onderwijs 💁‍♂️ Wachtlijsten aanpakken ⬇️ VUL ZELF AAN in de comments
20,10 déc 2019 - 31 déc 2019,Inactive,ID : 495010001110250,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79245091_10157779439834320_8082132486810763264_n.png?_nc_cat=108&_nc_ohc=dKFuiWjS6zoAX8ljxK8&_nc_ht=scontent.fgva1-1.fna&oh=53beb9d0c76954f343acc5366e166744&oe=5E9C54B5,"De besparingen in de zorg kosten letterlijk mensenlevens. 😡 Uit onderzoek van de Universiteit Antwerpen blijk dat ziekenhuizen die kampen met een personeelstekort meer patiënten onverwacht zien sterven.    In België is een verpleegkundige gemiddeld verantwoordelijk voor 10 patiënten, in andere landen ligt dat gemiddelde een pak lager. Geef verpleegkundigen de ruimte om hun job zo goed mogelijk te doen!  🙏"
21,9 déc 2019 - 31 déc 2019,Inactive,ID : 2353896324877426,,De regeringsvorming gaat niet om Vlamingen vs Walen.  🇧🇪  We moeten de problemen aanpakken voor alle Belgen. Zoals bijvoorbeeld het minimumpensioen optrekken naar 1.500 euro. Want ook in Vlaanderen zijn veel mensen met een veel te laag pensioen.
22,6 déc 2019 - 12 déc 2019,Inactive,ID : 2308490659256415,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80206519_2308510312587783_4488347919329525760_n.jpg?_nc_cat=107&_nc_ohc=04EZm7AXlQsAX_9UbeJ&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=b9f9b27a3f3d7162a65ea8aa8af39695&oe=5EDC1F02,"🌳 Bomen voor #Brussel! . . . 😍 Er komt zelfs een Boommeester die de leiding krijgt over de bomen in de stad. . . . 🙌 Brusselaars die zelf initiatief willen nemen en hun straat of wijk willen vergroenen, kunnen daarvoor subsidies ontvangen en krijgen jonge bomen om te planten. . . . 💚 #hetkananders #sprouttobebrussels #bxlmabelle #bomen #milieu #cleanairnow #samensemble"
23,5 déc 2019 - 31 déc 2019,Inactive,ID : 563230974462989,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79531098_10157775887764320_754108846003191808_n.jpg?_nc_cat=102&_nc_ohc=ALDkjzZ5uFcAX8ddz9l&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=ca2e4c340801bc6e15a94f6a6114d4d8&oe=5EDBA6C3,"'Dit is te gek voor woorden', zegt Wouter Van Besien.   'Fietsers die de trein nemen, verdienen propere, veilige, ruime en gratis fietsparkings. We willen ze net in de watten leggen, in de plaats van ze af te schrikken.' 💚🚴‍♀️"
24,4 déc 2019 - 11 déc 2019,Inactive,ID : 468180710548164,,"Geen woorden, maar daden! 💚 #hetkananders #klimaattop #copmadrid #klimaatverandering #ecofriendlyliving #mindervliegenmeertreinen #facepalm #epicfail #ecofriendly #milieubewust"
25,4 déc 2019 - 31 déc 2019,Inactive,ID : 570388446872028,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/79368734_454131248818804_3415385335541006336_n.jpg?_nc_cat=111&_nc_ohc=gWavugmDNrEAX-kn2Vf&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=df7c9bad4bd563c1d65e7e1364dc807c&oe=5EA59B23,Bomen voor Brussel 💚   Er komt zelfs een Boommeester die de leiding krijgt over de bomen in de stad 😍 #hetkananders
26,4 déc 2019 - 31 déc 2019,Inactive,ID : 1037301329946964,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/79389657_1037301363280294_3003519356496773120_n.jpg?_nc_cat=106&_nc_ohc=qlH7oqIKMx4AX8orj6C&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=98385858b595f1b6421b3ddaf530e9f7&oe=5E8D2895,Bomen voor Brussel 💚   Er komt zelfs een Boommeester die de leiding krijgt over de bomen in de stad 😍 #hetkananders
27,4 déc 2019 - 31 déc 2019,Inactive,ID : 2412479819002262,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/79531098_10157775887764320_754108846003191808_n.jpg?_nc_cat=102&_nc_ohc=ALDkjzZ5uFcAX8ddz9l&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=ca2e4c340801bc6e15a94f6a6114d4d8&oe=5EDBA6C3,"'Dit is te gek voor woorden', zegt Wouter Van Besien.   'Fietsers die de trein nemen, verdienen propere, veilige, ruime en gratis fietsparkings. We willen ze net in de watten leggen, in de plaats van ze af te schrikken.' 💚🚴‍♀️"
