,date,status,id,text,photo
11,16 déc 2019 - 21 déc 2019,Inactive,ID : 2503722079894281,"In stijl naar de koning! 🕺 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ @joachimcoens en @glbouchez nemen samen de rol van informateur op zich. ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀💬 ""We zijn twee nieuwe voorzitters die met open vizier aan deze opdracht beginnen. We hopen op open gesprekken, optimisme en goede wil. Samen gaan we voor oplossingen. Het land heeft dat nodig."" • • • #informateur #begov #belga 📸 Belga",https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/80188814_1561745140632410_8833786578615664640_n.jpg?_nc_cat=107&_nc_oc=AQniHjnFEpS-7uuu9rd8iksJSfrYiVeZ4wy3yXHvJieRWMp5SZukJRy0CWP8MRWRlrA&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=3c3c8f04e10112c0fba4838e856c8039&oe=5E943465
12,5 déc 2019 - 8 déc 2019,Inactive,ID : 685568488635295,"Leen Dierick: ""Dit is een belangrijke stap in de strijd tegen een industrie die woekerwinsten opstrijkt op de kap van mensen die hun facturen niet kunnen betalen. Mensen die het moeilijk hebben om hun rekeningen te betalen moeten niet nog dieper in de problemen geduwd worden door de hoge invorderingskosten.""   https://www.cdenv.be/wie-zijn-we/cdenv-als-politieke-partij/de-kamer/actua/goedgekeurd-wetsvoorstel-wil-overmatige-schuldenlast-aanpakken-/",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/78665741_10157847465724532_8369425018198687744_n.jpg?_nc_cat=100&_nc_oc=AQlbuGrkIo2qbVUUAqCDzR5l7NctFb9peRFin9-uzUFE0D63M1zW8kZGsrDQ3e-Ldcs&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=a6750b041f444f8cc05f4254234f0fb7&oe=5E92D75D
13,29 nov 2019 - 1 déc 2019,Inactive,ID : 2517845331873863,"Smile, het is weekend! 🥳",
14,27 nov 2019 - 30 nov 2019,Inactive,ID : 3005004422862735,Combineer jij een grondige basiskennis van de sociale zekerheid en sociaal beleid? En geloof jij dat de christendemocratie hierin het verschil (kan) maken? Dan ben jij de adviseur die CEDER zoekt!,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78961124_3005004459529398_3708771996025225216_n.jpg?_nc_cat=106&_nc_oc=AQn-_xA7yTluWFOxFoM4U7dYjY6ziGmV97SaGki5hzUBujlU_J70HHMef0Awu2fcnYo&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=d8ea62927f52db8f952fac692de04a9a&oe=5EA5C28A
15,21 nov 2019 - 5 déc 2019,Inactive,ID : 443911909540530,🔥 Volg @cdenv en beleef de voorzittersverkiezing vanop de eerste rij 🔥,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78033598_443911959540525_8167451586944040960_n.jpg?_nc_cat=111&_nc_oc=AQnpyo5r5SosuSDJDlBbhan2qK0Mhfr4Z17vKh32ICaukhmYNerG-PWX2xZbTccCf_E&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=c09fbdebe3388ca2728ffb4ebede8f04&oe=5ED58E8E
16,21 nov 2019 - 5 déc 2019,Inactive,ID : 728683220985450,🔥 Beleef de voorzittersverkiezing vanop de eerste rij 🔥,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/78172823_728683270985445_7894937462496034816_n.jpg?_nc_cat=101&_nc_oc=AQlGxVrG4wOttnuplgwaHzZV9lJIcEIlpZlb4TJMsbXvrB54mYzZXmGIjPyjKfOGtEo&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=e191a90024753d4e15475ab842229f8e&oe=5ED84B9B
17,20 nov 2019 - 27 nov 2019,Inactive,ID : 1466046623534212,"CD&V is niet tegen abortus, wel tegen een uitbreiding van 12 naar 18 weken. Er is geen enkele wetenschappelijke basis voor. Abortus is geen gewone medische ingreep. Het is een ingrijpende beslissing over leven en dood. Over ongeboren leven dat bescherming verdient. Bekijk hier ons standpunt 👇",
18,20 nov 2019 - 27 nov 2019,Inactive,ID : 2869100139774889,"Over wetgeving over leven en dood beslis je niet lichtzinnig. CD&V is niet tegen abortus, wel tegen een ondoordachte wijziging zonder enig debat. Lees hier waarom CD&V tegen de uitbreiding van de termijn van 12 naar 18 weken is: https://www.cdenv.be/actua/waarom-cdv-tegen-een-uitbreiding-is-van-de-abortuswet-/",https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/75625397_10157801598854532_4551529448054194176_n.png?_nc_cat=108&_nc_oc=AQnC51TKOlA25GeHV9SQ7JHucD8VpTotfqpPRdYS9D1aMvlhc0wxbjM9V-k-O5YU184&_nc_ht=scontent.fgva1-1.fna&oh=278ef2a30e66632de845e31bd6f06a45&oe=5E9DA6D8
19,19 nov 2019 - 24 nov 2019,Inactive,ID : 1826908740787058,“Mijn pleegouders hebben mij het mooiste geschenk gegeven dat ik mij ooit kon wensen: een thuis.” 🧡 ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Yari (23) was drie weken oud toen hij bij zijn pleeggezin terechtkwam. #weekvandepleegzorg ⠀⠀⠀⠀⠀⠀⠀⠀⠀ 👉 Lees het volledige verhaal van Yari: cdenv.be/pleegzorg • • • #pleegzorg #pleegzorgvlaanderen #familie #gezin,https://scontent.fgva1-1.fna.fbcdn.net/v/t39.16868-6/s600x600/77179247_2611843602208222_1657090587154710528_n.jpg?_nc_cat=107&_nc_oc=AQkrKIOpinImdY9Ps9h87afZkRvMoZMP_OuyIU7xdt8WOydhs0BeMi7dk9BRLC61SMg&_nc_ht=scontent.fgva1-1.fna&_nc_tp=1002&oh=4cd0d535d873b7195b25650239f7f8c8&oe=5EDA11EB
20,16 nov 2019 - 17 nov 2019,Inactive,ID : 426995597973027,De afgelopen weken maakten onze leden tijdens één van onze 10 debatten kennis met de kandidaat-voorzitters. Heel veel leden waren op de afspraak en gingen met hen in dialoog. De laatste rechte lijn is nu ingezet: online stemmen kan nog tot zondagavond 20u00. (Stemming per post afgesloten - zie verkiezingsreglement)  Maandag 18/11 om 12u wordt het resultaat bekend gemaakt. Meer info: www.cdenv.be/voorzittersverkiezingen,https://scontent.fgva1-1.fna.fbcdn.net/v/t1.6435-0/s600x600/78047253_10157789692974532_6144823334023462912_n.png?_nc_cat=100&_nc_oc=AQl7A5ydpRubp8hW_-hMAqgaZJ-_qxwVWybRXM5qxcnaMCz3cCoEjNHzNSbP8uc_grY&_nc_ht=scontent.fgva1-1.fna&oh=85d03c66520d5468c21f3896419fee6e&oe=5EDAB5BA
